	GSM1017517_H1D3_OS.CEL.gz	GSM1017518_H2D3_OS.CEL.gz	GSM1017519_H3D3_OS.CEL.gz	GSM1017520_H4D3_OS.CEL.gz	GSM1017521_H5D3_OS.CEL.gz	GSM1017522_H6D3_OS.CEL.gz	GSM1017523_H7D3_OS.CEL.gz	GSM1017524_H8D3_OS.CEL.gz	GSM1017525_H9D3_OS.CEL.gz	GSM1017526_H10D3_OS.CEL.gz	GSM1017527_H11D3_OS.CEL.gz	GSM1017528_H1D3_TIO.CEL.gz	GSM1017529_H2D3_TIO.CEL.gz	GSM1017530_H3D3_TIO.CEL.gz	GSM1017531_H4D3_TIO.CEL.gz	GSM1017532_H5D3_TIO.CEL.gz	GSM1017533_H6D3_TIO.CEL.gz	GSM1017534_H7D3_TIO.CEL.gz	GSM1017535_H8D3_TIO.CEL.gz	GSM1017536_H9D3_TIO.CEL.gz	GSM1017537_H10D3_TIO.CEL.gz	GSM1017538_H11D3_TIO.CEL.gz	GSM1017539_H1D7_OS.CEL.gz	GSM1017540_H2D7_OS.CEL.gz	GSM1017541_H3D7_OS.CEL.gz	GSM1017542_H4D7_OS.CEL.gz	GSM1017543_H5D7_OS.CEL.gz	GSM1017544_H6D7_OS.CEL.gz	GSM1017545_H7D7_OS.CEL.gz	GSM1017546_H8D7_OS.CEL.gz	GSM1017547_H9D7_OS.CEL.gz	GSM1017548_H10D7_OS.CEL.gz	GSM1017549_H11D7_OS.CEL.gz	GSM1017550_H1D7_TIO.CEL.gz	GSM1017551_H2D7_TIO.CEL.gz	GSM1017552_H3D7_TIO.CEL.gz	GSM1017553_H4D7_TIO.CEL.gz	GSM1017554_H5D7_TIO.CEL.gz	GSM1017555_H6D7_TIO.CEL.gz	GSM1017556_H7D7_TIO.CEL.gz	GSM1017557_H8D7_TIO.CEL.gz	GSM1017558_H9D7_TIO.CEL.gz	GSM1017559_H10D7_TIO.CEL.gz	GSM1017560_H11D7_TIO.CEL.gz
7892744	4.76320642332746	2.19219564705462	2.63855515560099	3.5676818894096	2.10099928500494	6.16257271634474	3.55259874522595	4.13512409898051	6.13533508651315	4.49898067193295	4.90453089595283	4.86451560484515	5.15155407306153	4.86564064719643	2.8804313524935	5.85203215183752	5.61111268759558	3.90290258649993	2.37243537794033	4.86000729590905	3.24745307971427	6.96438001543475	1.41565538084522	2.2634108774207	2.06096056731523	1.8237030713624	4.23082986721178	4.7263297608158	2.16568860465988	4.11230458740021	2.3357023575702	2.53238745169488	2.89903923284565	2.32623973908928	2.24458490685866	4.55746106684855	4.59954369207495	2.02301982420658	4.30647473927659	3.74444424943839	5.29099212153661	4.978158883061	3.45988129056113	4.18743881160686
7893628	2.51896653459621	4.84419753594099	1.85691797436987	1.73921556051247	2.30604585489238	2.35890305790023	2.34830689042385	5.3451973238294	3.83704460845615	5.26426693789659	5.2368428751255	2.80457632418579	1.87602960605889	6.2492489633006	1.86114509753843	2.81624577465379	2.10971676813333	3.72563868530416	3.12953079711939	4.00805844211579	1.77636128189412	3.49393765305957	4.63141137568852	2.17902379224856	2.19534636843421	5.58289804736696	5.93537864952143	4.50137102195363	6.13381978355476	5.7699919430688	5.39653011486571	4.72979212080686	6.5277057555616	4.45741851069461	6.16093972779595	5.91373757841939	5.17828518871794	2.66896289832978	4.91608543870921	6.40998482810923	5.41811410099844	5.88754829803629	5.86610991251532	6.34829139955791
7894600	2.03692611260704	3.42438776383175	5.75766902720269	4.69017569805419	2.95344442053272	4.63175149392328	5.41239513390981	2.91980261632103	2.38962104050242	4.18230978738188	1.12740970383049	3.7492554913307	6.2982589063411	2.01379974306179	1.53446898070029	4.39135284237696	4.54135868274797	1.37119584819634	1.89103660312187	4.09234268994225	5.1389755858289	3.39795209845779	2.57014086239387	1.74889706070535	6.33891664149652	4.27522686439878	4.3634822572327	5.59050454589146	5.12731191619721	1.39152975655255	1.71192568404124	1.71192568404124	4.26446743739584	5.43292731900424	4.52253221213187	3.77747112271105	5.75220654815996	3.34055438738404	5.22438594938636	4.67109273934279	4.30181499511328	3.45988129056113	1.85959131570329	3.15445272807594
7894946	1.41869257466236	2.40946228597143	2.6315560914195	1.61743389741814	2.69172844586487	2.01011295814046	2.37243537794033	5.97379690755613	2.16451904797439	4.10319474874082	4.15540499268751	2.42719472429843	2.14958625239226	4.32887938928449	2.41203593244281	1.81550869647823	2.08617917635689	3.31014273593618	1.8431842377798	1.94015051776412	3.82421454459662	4.55041057331811	2.87927116325623	2.69300753604491	6.69305905500492	4.10857054409683	5.09712390051736	2.29767934223559	6.27033293874884	6.77600030605324	5.73763207893346	4.3310524615541	6.46896051759298	2.01854008957952	2.92251360966174	5.32802468288018	2.66085383512238	2.02301982420658	3.12477422320531	5.08087646283915	4.7274459943121	5.29626841217398	5.86570718195097	6.39229596664555
7896708	2.9499618953601	6.86689543388761	6.47039175217931	3.33032158741462	3.35886921174276	6.8756379785029	5.17617468824853	6.70671434546061	5.86718140956336	7.71186660214223	8.21500945977208	4.12982953597836	4.76400642560339	5.73583354569347	3.04996249563705	6.21026656058666	5.824085733359	3.7249075703701	3.40346078945057	8.25806053063274	7.03477549143113	7.56409418288281	5.2865832645006	7.64776045664297	3.95420844120299	4.90853851165145	2.10548544608944	6.87824625801273	6.0157868754811	3.1944800767952	4.44467729804923	6.13281270265622	7.58908077940621	6.00615462013205	7.25131781973225	2.7742663744231	6.44154539934833	3.31097835025494	6.76684375136631	6.23416532523628	6.43617186533028	5.75526776478319	3.7116335599392	6.63586491289935
7898805	4.53006263469574	6.08880646044401	4.95484503790756	4.44439419152858	5.41488262538423	4.33343561584796	6.53157666644034	7.99708558475955	5.70055319177193	6.37942930575309	7.11237848192507	4.64132923065526	4.69501655381555	7.65470391637927	4.48232995866814	5.64674827615317	4.64200201919924	6.00493759682622	4.76018572169243	5.76051992917377	5.482060030026	7.70608857400634	7.31148432198194	6.53441484222217	7.46718521288062	8.30949924131715	8.03979115611722	6.57455131064374	9.21134688801962	8.08717622170765	8.43604190331021	6.24427185943223	9.09047814666468	6.0040639485676	8.32908785339747	8.45948079527683	7.70477033470021	5.7262250980634	6.57614951686307	9.10944931842223	8.18150084480769	8.54513910201044	8.40336544682277	9.04752136816411
7900129	6.2777435747068	5.41726831821859	5.13582840618419	8.95030719281688	8.5067661346319	5.42424509571761	8.07143809453118	7.80144436275682	6.28845964569229	8.23381663184217	8.89535371300258	8.39477659265267	5.51630068681237	6.06977712301384	8.98745184658743	8.7596257345315	6.24145353540985	7.6370184382072	6.61713238698479	6.28501011764333	5.6417147029557	8.35155359147363	5.94866040642015	5.37027561000491	5.46837572627807	6.82900012045706	8.90313028012467	7.22481695088899	4.63642393119092	5.94248207193142	8.19641541677807	5.87226397265518	5.69109228372092	5.81207625634215	5.23201604888882	5.34922558670797	5.50313596697893	8.46289951243023	6.29250132178177	5.41806722447728	5.60193682287546	7.00041769956211	5.244874836178	5.37911584538829
7907160	4.31040368313436	5.05117451082871	3.3900898161777	3.35371930890901	3.85250098466839	3.95771505698797	4.10293210174403	6.769431569063	3.12381413201534	3.46993446944921	4.7008534070886	3.17431762887108	5.0508332561006	7.46161567399731	3.95723556236235	3.60311524500662	3.80886832113391	3.38126446043867	4.26719106487955	3.46741282058582	3.78130123406307	6.02002304497368	6.12867367201354	4.51410015324842	7.58965362423978	6.91852577291722	6.95092834850776	5.02195098523064	7.61172844353069	7.76546315991498	5.18639375804422	5.01772218023569	6.85680594628125	4.86315368372424	6.8767871547336	7.39729894595661	5.8266081965727	4.25704732808387	4.7743299942894	7.52712584692204	7.46712367907076	6.74268518019948	7.22786155150862	7.31008162233339
7919815	5.03042855570039	5.90322157889485	5.1263035569189	4.64282798153808	5.01290737009819	5.12023163054553	5.1338831584094	5.16891221036343	4.86095453937267	5.13122333085312	4.6646648307651	5.15152461854215	4.932698460808	5.156551613618	4.6559166833508	4.94609121521876	4.30325819079022	5.24013002010019	5.34944571548207	4.9600599742392	4.68259495179491	4.76348792968125	9.16570269220943	9.67714733164429	6.89891868246509	7.96209056501704	6.54708664140092	11.0935494461423	9.15503935225084	9.47304293891873	7.93704502346754	8.04187362277722	9.23172255931936	7.19385910432711	8.96639881967205	8.53814587243372	7.9863603465451	6.76009868552513	10.7514372730335	10.0028469495925	9.50843333889511	7.88482561912391	8.76573620758896	8.93032244838194
7923547	7.04721219282006	7.84773708727806	5.76723394552864	7.75762223294591	7.35298440727512	6.39364670630785	7.87951254232279	9.8506572835475	5.37147525403383	5.34836354028741	8.37423536413677	7.36916792935009	6.71337396655102	8.53185524533952	8.14709481265132	7.01082041620282	6.29649259135004	6.77773873407565	7.92963521493705	4.09253079177738	5.8132857138133	9.00935047448233	10.1499361170378	8.41520934406176	10.5192869053544	10.8779288089348	10.5199570342094	7.20817606225377	10.8548160482863	11.6498395687659	6.30503795603536	9.02732448592733	11.00367179457	9.90366571660599	11.6649761224633	11.8760722220716	11.0011422684841	9.17283794438212	7.06889846007028	11.4911565837342	11.8048270574352	8.13192023685189	11.5301865879135	11.5460629906518
