	GSM1017517_H1D3_OS.CEL.gz	GSM1017518_H2D3_OS.CEL.gz	GSM1017519_H3D3_OS.CEL.gz	GSM1017520_H4D3_OS.CEL.gz	GSM1017521_H5D3_OS.CEL.gz	GSM1017522_H6D3_OS.CEL.gz	GSM1017523_H7D3_OS.CEL.gz	GSM1017524_H8D3_OS.CEL.gz	GSM1017525_H9D3_OS.CEL.gz	GSM1017526_H10D3_OS.CEL.gz	GSM1017527_H11D3_OS.CEL.gz	GSM1017528_H1D3_TIO.CEL.gz	GSM1017529_H2D3_TIO.CEL.gz	GSM1017530_H3D3_TIO.CEL.gz	GSM1017531_H4D3_TIO.CEL.gz	GSM1017532_H5D3_TIO.CEL.gz	GSM1017533_H6D3_TIO.CEL.gz	GSM1017534_H7D3_TIO.CEL.gz	GSM1017535_H8D3_TIO.CEL.gz	GSM1017536_H9D3_TIO.CEL.gz	GSM1017537_H10D3_TIO.CEL.gz	GSM1017538_H11D3_TIO.CEL.gz	GSM1017539_H1D7_OS.CEL.gz	GSM1017540_H2D7_OS.CEL.gz	GSM1017541_H3D7_OS.CEL.gz	GSM1017542_H4D7_OS.CEL.gz	GSM1017543_H5D7_OS.CEL.gz	GSM1017544_H6D7_OS.CEL.gz	GSM1017545_H7D7_OS.CEL.gz	GSM1017546_H8D7_OS.CEL.gz	GSM1017547_H9D7_OS.CEL.gz	GSM1017548_H10D7_OS.CEL.gz	GSM1017549_H11D7_OS.CEL.gz	GSM1017550_H1D7_TIO.CEL.gz	GSM1017551_H2D7_TIO.CEL.gz	GSM1017552_H3D7_TIO.CEL.gz	GSM1017553_H4D7_TIO.CEL.gz	GSM1017554_H5D7_TIO.CEL.gz	GSM1017555_H6D7_TIO.CEL.gz	GSM1017556_H7D7_TIO.CEL.gz	GSM1017557_H8D7_TIO.CEL.gz	GSM1017558_H9D7_TIO.CEL.gz	GSM1017559_H10D7_TIO.CEL.gz	GSM1017560_H11D7_TIO.CEL.gz
7892954	5.22562538979243	5.79505136820427	4.70982531631219	3.81678895744089	5.21485946685855	4.31592638727821	3.84995475177803	6.05734282598593	4.2061386632269	4.54741549573008	4.30851745057737	4.3270687852193	4.71762369096043	7.27082298307739	3.40016709076362	5.34179590175531	3.4311571029388	1.85457505872038	4.33560505902995	4.81257234237768	4.2726824650869	7.03783067825901	5.70363003635581	5.27664563937811	5.26429660692614	6.99918464906424	5.85636107583925	5.46572578857997	6.75230479606905	6.88368013141572	6.25551097702625	5.5367445061636	6.47350163547403	5.7032004255444	7.53532602592677	6.99709862664588	5.76009500996978	2.54126726187978	5.07870495385151	6.77581056083737	6.61426807434911	6.08738761583383	6.14733542277077	6.53064523889324
7893049	4.95864411365273	4.36378055912793	2.45990273580436	4.57567278413907	5.48718608918268	2.62649028946217	4.58317372288654	5.31201469887767	4.57985565343867	5.4306499400732	4.29472201908049	3.93406674086215	2.42879976769561	2.44293792297101	3.5332466521181	5.78151637640543	2.85800291260876	4.51445263001744	4.11775464490047	4.30647473927659	3.36095067351657	4.4248062313773	3.48178902972066	2.19501611702302	3.45455765466952	3.66651653138835	4.3634822572327	2.6316661734802	2.75749301766222	5.30415593244338	2.5352301608683	4.06245802902748	2.95359301731295	4.53824584976813	2.44285942203333	1.83847054688687	2.59838306741863	4.12414670304135	1.75991235596232	4.07669526024019	3.74252969532518	2.95613545904083	4.75809388816357	2.71687131486942
7893087	6.17409340554193	7.09763684596505	5.56615422472412	3.74779799090192	6.12373023689748	6.37425368456719	5.53980857848155	7.91226112313144	5.68359848340993	6.78995104456117	6.33355195626153	4.74164284817986	5.83456343369351	8.32403858411753	4.91472283559826	5.71341242764827	4.24428123740191	6.0746560955273	6.25591436023455	7.16360928937625	5.43186235330584	7.53163185019313	7.06645820105413	7.11356398746786	6.43784105671523	7.98713967708386	7.63189342681113	7.1972780539607	7.68931383752637	7.63624976247495	7.38754176785069	7.33447490792459	7.85231562137487	7.24655834836855	8.22945821383145	8.23941337035321	7.75585928967441	5.68136877469948	6.92579197178587	8.01297303598749	7.55867063481411	7.59206856586219	7.58929503041047	8.0830785347214
7893175	3.69811804510886	2.99712015894521	3.66847887803908	4.51439942162973	2.20059923846851	2.29449760828855	1.82681080713716	1.69728986933141	2.8390872630846	1.88538118021543	2.3357023575702	4.1511645831466	4.09690301188291	3.57651271444449	2.11331490735989	5.71107305883497	2.57874892531	3.90290258649993	2.03183582186418	2.27646534074942	3.41773437933129	1.89412132666141	4.47719577396862	3.63163384783622	5.18244432321099	3.81661759043199	2.55350855190572	4.00662872330288	2.23767833378685	2.31029435812719	5.01664957246832	5.58846167460911	3.40681382518839	4.1511645831466	4.1956148653037	4.51439942162973	2.99397883683101	2.62059544345612	3.77868292859072	3.84765785749744	5.9956010701723	4.70724145315784	1.85959131570329	2.03183582186418
7893177	2.73558865184686	5.57427749684084	5.41930749006581	2.43882809196428	6.03406086653622	5.41393408408169	5.74182821936063	6.38357861033792	5.02558806948451	5.04631952346557	5.85819343648157	3.6659308809843	2.67083444506133	5.59390064392081	2.8804313524935	5.64067098974748	3.39846197351115	4.34565542361865	6.94774294548727	3.13578416540586	4.91688760859527	6.29157730604599	4.52963086535781	3.84049516071922	1.91532595472364	3.27943526476682	4.47719577396862	2.01956391965304	5.03061229135052	4.85842135054664	2.74569477938076	4.86113590345707	1.36509522507327	3.07630911142213	4.33363117031814	2.19606314261245	4.59954369207495	5.27795260026841	4.79830521494179	5.97707654127704	4.04280884426227	2.23767833378685	4.96596782139026	5.03954783680055
7893248	3.25752852157021	6.39990668112522	5.56223847657143	4.88752720178319	4.65658781478329	4.51212398828775	5.44629260710644	6.2721279369979	3.07409876283531	6.79240093390433	5.0859143454852	3.74925672039501	5.91132831986294	7.15563858082346	2.71132220639332	5.30791803325042	4.11879206612119	4.37156819524824	3.34249430775619	3.59683602296554	3.15963102922278	6.49333035683877	5.05051008583227	6.65916214288237	5.85667388650442	6.20030935645568	6.13737012131449	5.53204349216564	5.25983201153133	7.02741379917004	5.2606767271325	5.99093467823772	6.72511850450323	4.95541146120473	5.95984816795296	6.79829159239374	5.99136974043625	3.40835831919182	6.29823038895088	6.4325193316518	6.50144349613995	4.5301262648008	6.262496694317	6.09806696692294
7893322	5.18957653867654	2.73742478454527	5.73341258535186	5.01022960390712	6.09039331662498	5.6823555351614	3.37511573942759	6.52379484876308	4.40819012159893	2.64200790346833	5.81011873137406	5.09569912246629	3.60232507577974	4.24758183951638	7.36863524760922	4.73098412510055	3.7939600038658	4.34565542361865	5.22438594938636	5.71419907182879	5.26258094697025	4.43820840330576	2.57014086239387	5.31239000975902	4.2442200454532	5.47691798217558	1.96410397866578	4.1558222021252	4.85503805190693	5.07845126987468	3.47475029388363	4.25186605259932	5.30663670528019	3.95087701991227	1.83612509198514	2.04329756859317	4.46261292455154	4.16603326453923	3.2640912495983	3.63545485295898	2.41950980356533	2.95613545904083	6.28780961964657	3.48672761019414
7893333	3.89329093494447	5.75942454823042	2.72254905053723	3.28597972562696	3.23825770595935	5.61763338962337	3.45146324099894	6.81417981403322	4.43106284400952	6.31374504018881	4.07109045262657	3.02363439558519	5.88849947424006	7.36448082402524	4.92255325956041	5.10526269920674	4.41485271529341	5.42799986675938	5.06170836595145	4.24021404822765	2.94034553739525	6.27002449074956	5.52265130111904	5.76487722204732	3.86922192124781	6.86980279672726	5.756638729199	5.16724126439767	6.94382603082621	6.81200315323881	6.1752343282873	6.52903209454485	7.37733579859956	5.23914270277366	6.65251458859945	7.20325561394367	6.76169026096885	5.36577412775443	4.66461241016993	7.31948424822195	7.05509126649688	7.12772413090008	6.79513916958676	7.42528834859748
7893355	4.58358013476633	5.07942135375508	4.0331231111721	5.85366456948461	5.81827595732042	5.57755927131275	5.33823164860625	5.59390064392081	2.46555994236836	5.39978219804113	4.57429793528473	4.1511645831466	6.11279106677705	2.20960450611975	5.18957653867654	2.67083444506133	5.15155407306153	5.19047472918498	3.8047661288045	2.27646534074942	5.8027264157227	5.47397012762411	2.43419786397662	4.29518999303858	5.38136595583409	3.1459577901898	5.50035935358142	3.34055438738404	5.22438594938636	5.97655592121938	4.24758183951638	3.51181412335283	5.739474362583	6.73521728984567	2.57394535859855	2.99244603475923	3.31324255257887	3.03145992996573	2.2634108774207	3.47181267026931	3.25953150612887	4.6183397093709	6.0149754042236	4.2442200454532
7893416	6.53610662650801	5.22656442893324	5.9004906999833	5.11866365055019	6.85880006885203	6.31914489445541	6.20539004974323	5.52826085219995	6.78783997230663	6.51430651267368	4.09869950456486	4.30045577448321	6.82915873302483	4.01725915418927	6.03398653019449	6.67152079522048	5.84416400036793	6.51667272674817	5.68938111966727	5.81686406218797	6.68786747599851	3.5091988531857	5.7258321410007	4.09860113135107	4.95902530294294	4.42853004109707	6.63437801649871	5.04321326081068	5.50872361933005	4.81811557859996	4.76978884731645	6.73252587837686	3.33644238011982	6.3045625287919	5.25563268170774	3.1659777845107	4.32533644731688	5.66625016036188	5.8850454346665	5.78790817488171	5.52469670402834	5.00821684977605	3.59362434454167	4.49528763158721
